listing_id,business_name,address,orgid,Rating,Rating Count,phone,website,domain,chain_name,lat,lon,in_chain,in_search,Category1,Category2,Category3,Category4,Category5,Category6,Category7
CID:1025909854973713336,Safeway,"1070 e cypress ave, redding, ca 96002",safeway,4.1,2172,(530) 226-5871,local.safeway.com,safeway,Safeway,40.572696,-122.3511975,True,True,Grocery,Bakery,"Beer, Wine & Spirits",,,,
CID:3479188517872361178,Safeway Liquor,"1070 e cypress ave, redding, ca 96002",safeway,4.3,4,,safeway.com,safeway,Safeway,40.5727124,-122.3514784,True,False,"Beer, Wine & Spirits",,,,,,
CID:4001984151745476309,Safeway Bakery,"1070 e cypress ave, redding, ca 96002",safeway,2.0,1,(530) 226-5871,local.safeway.com,safeway,Safeway,40.5728327,-122.351392,True,False,Bakery,,,,,,
