listing_id,business_name,address,orgid,Rating,Rating Count,phone,website,domain,chain_name,lat,lon,in_chain,in_search,Category1,Category2,Category3,Category4,Category5,Category6,Category7
CID:13147609849703900207,Safeway,"2020 market st, san francisco, ca 94114",safeway,3.8,4073,(415) 861-7660,local.safeway.com,safeway,Safeway,37.7691755,-122.4278748,True,True,Grocery,Bakery,"Beer, Wine & Spirits",,,,
CID:17242280735510523348,Safeway Liquor,"2020 market st, san francisco, ca 94114",safeway,4.0,15,(415) 861-7660,safeway.com,safeway,Safeway,37.7688487,-122.4279242,True,False,"Beer, Wine & Spirits",,,,,,
CID:349938616904131960,Safeway Bakery,"2020 market st, san francisco, ca 94114",safeway,5.0,2,(415) 861-7660,local.safeway.com,safeway,Safeway,37.7688487,-122.4279242,True,False,Bakery,,,,,,
