listing_id,business_name,address,orgid,Rating,Rating Count,phone,website,domain,chain_name,lat,lon,in_chain,in_search,Category1,Category2,Category3,Category4,Category5,Category6,Category7
CID:8253026739120780124,Safeway,"989 sunrise ave, roseville, ca 95661",safeway,4.3,1671,(916) 773-4001,local.safeway.com,safeway,Safeway,38.7310306,-121.2713433,True,True,Grocery,Bakery,"Beer, Wine & Spirits",,,,
CID:3739507736348143961,Safeway Liquor,"989 sunrise ave, roseville, ca 95661",safeway,0.0,0,,safeway.com,safeway,Safeway,38.7310517,-121.2716454,True,False,"Beer, Wine & Spirits",,,,,,
CID:14897251174939889704,Safeway Bakery,"989 sunrise ave, roseville, ca 95661",safeway,0.0,0,(916) 773-4001,local.safeway.com,safeway,Safeway,38.730857,-121.2711702,True,False,Bakery,,,,,,
