listing_id,business_name,address,orgid,Rating,Rating Count,phone,website,domain,chain_name,lat,lon,in_chain,in_search,Category1,Category2,Category3,Category4,Category5,Category6,Category7
CID:95511082740622520,Safeway,"2785 yulupa ave, santa rosa, ca 95405",safeway,4.1,481,(707) 524-4646,local.safeway.com,safeway,Safeway,38.4257815,-122.6684797,True,True,Grocery,Bakery,"Beer, Wine & Spirits",,,,
CID:13891279675845519767,Safeway Liquor,"2785 yulupa ave, santa rosa, ca 95405",safeway,3.3,4,(707) 524-4646,safeway.com,safeway,Safeway,38.4257496,-122.6682131,True,False,"Beer, Wine & Spirits",,,,,,
CID:3938630742515460139,Safeway Bakery,"2785 yulupa ave, santa rosa, ca 95405",safeway,0.0,0,(707) 524-4646,local.safeway.com,safeway,Safeway,38.4257973,-122.6685363,True,False,Bakery,,,,,,
