listing_id,business_name,address,orgid,Rating,Rating Count,phone,website,domain,chain_name,lat,lon,in_chain,in_search,Category1,Category2,Category3,Category4,Category5,Category6,Category7
CID:12413648395068144187,Safeway,"350 bay st, san francisco, ca 94133",safeway,4.0,1007,(415) 781-4374,local.safeway.com,safeway,Safeway,37.8061408,-122.4132916,True,True,Grocery,Bakery,"Beer, Wine & Spirits",,,,
CID:7531888194285165342,Safeway,"350 bay st, san francisco, ca 94133",safeway,3.5,6,(415) 781-4374,safeway.com,safeway,Safeway,37.8061485,-122.4129638,True,False,"Beer, Wine & Spirits",,,,,,
CID:15159580556664922309,Safeway Bakery,"350 bay st, san francisco, ca 94133",safeway,3.5,5,(415) 781-4374,local.safeway.com,safeway,Safeway,37.8058425,-122.4129875,True,False,Bakery,,,,,,
