listing_id,business_name,address,orgid,Rating,Rating Count,phone,website,domain,chain_name,lat,lon,in_chain,in_search,Category1,Category2,Category3,Category4,Category5,Category6,Category7
CID:11152144972732952135,Safeway,"653 s state st, ukiah, ca 95482",safeway,4.0,1206,(707) 467-2700,local.safeway.com,safeway,Safeway,39.144515,-123.2060105,True,True,Grocery,Bakery,"Beer, Wine & Spirits",,,,
CID:12058115517196577800,Safeway Liquor,"653 s state st, ukiah, ca 95482",safeway,3.8,5,,safeway.com,safeway,Safeway,39.1444419,-123.206098,True,False,"Beer, Wine & Spirits",,,,,,
CID:13533202834976877377,Safeway Bakery,"653 s state st, ukiah, ca 95482",safeway,0.0,0,(707) 467-2700,local.safeway.com,safeway,Safeway,39.1444554,-123.2059489,True,False,Bakery,,,,,,
