listing_id,business_name,address,orgid,Rating,Rating Count,phone,website,domain,chain_name,lat,lon,in_chain,in_search,Category1,Category2,Category3,Category4,Category5,Category6,Category7
CID:7178368535574440336,Safeway,"477 w napa st, sonoma, ca 95476",safeway,4.1,796,(707) 996-0633,local.safeway.com,safeway,Safeway,38.2915431,-122.4676758,True,True,Grocery,Bakery,"Beer, Wine & Spirits",,,,
CID:4502543728181546245,Safeway Liquor,"477 w napa st, sonoma, ca 95476",safeway,3.0,1,,safeway.com,safeway,Safeway,38.291754,-122.4676458,True,False,"Beer, Wine & Spirits",,,,,,
CID:8192654733401249118,Safeway Bakery,"477 w napa st, sonoma, ca 95476",safeway,0.0,0,(707) 996-0633,local.safeway.com,safeway,Safeway,38.291594,-122.4677124,True,False,Bakery,,,,,,
