listing_id,business_name,address,orgid,Rating,Rating Count,phone,website,domain,chain_name,lat,lon,in_chain,in_search,Category1,Category2,Category3,Category4,Category5,Category6,Category7
CID:16362082300463994133,Safeway,"1025 alhambra blvd, sacramento, ca 95816",safeway,4.1,2618,(916) 456-0852,local.safeway.com,safeway,Safeway,38.5716358,-121.464615,True,True,Grocery,Bakery,"Beer, Wine & Spirits",,,,
CID:11815093117782323993,Safeway Liquor,"1025 alhambra blvd, sacramento, ca 95816",safeway,4.2,18,(916) 456-0852,safeway.com,safeway,Safeway,38.5716068,-121.4646218,True,False,"Beer, Wine & Spirits",,,,,,
CID:10289120718624070298,Safeway Bakery,"1025 alhambra blvd, sacramento, ca 95816",safeway,0.0,0,(916) 456-0852,local.safeway.com,safeway,Safeway,38.5715732,-121.4647093,True,False,Bakery,,,,,,
