listing_id,business_name,address,orgid,Rating,Rating Count,phone,website,domain,chain_name,lat,lon,in_chain,in_search,Category1,Category2,Category3,Category4,Category5,Category6,Category7
CID:14140597057509845393,Safeway,"6498 pony express trail, pollock pines, ca 95726",safeway,4.0,791,(530) 647-7440,local.safeway.com,safeway,Safeway,38.7620685,-120.5768323,True,True,Grocery,Bakery,"Beer, Wine & Spirits",,,,
CID:15824212920653258857,Safeway Liquor,"6498 pony express trail, pollock pines, ca 95726",safeway,4.5,2,,safeway.com,safeway,Safeway,38.7621109,-120.5766534,True,False,"Beer, Wine & Spirits",,,,,,
CID:17002020306612269095,Safeway Bakery,"6498 pony express trail, pollock pines, ca 95726",safeway,0.0,0,(530) 647-7440,local.safeway.com,safeway,Safeway,38.7618517,-120.5768743,True,False,Bakery,,,,,,
