listing_id,business_name,address,orgid,Rating,Rating Count,phone,website,domain,chain_name,lat,lon,in_chain,in_search,Category1,Category2,Category3,Category4,Category5,Category6,Category7
CID:8663574147500851446,Safeway,"2401 waterman blvd, fairfield, ca 94534",safeway,4.1,1143,(707) 427-5640,local.safeway.com,safeway,Safeway,38.2716132,-122.0529698,True,True,Grocery,Bakery,"Beer, Wine & Spirits",,,,
CID:10910856362654779612,Safeway Bakery,"2401 waterman blvd, fairfield, ca 94534",safeway,1.0,1,(707) 427-5640,local.safeway.com,safeway,Safeway,38.2718815,-122.0529657,True,False,Bakery,,,,,,
CID:11518891138917364999,Safeway Liquor,"2401 waterman blvd, fairfield, ca 94534",safeway,0.0,0,,safeway.com,safeway,Safeway,38.2716472,-122.0529375,True,False,"Beer, Wine & Spirits",,,,,,
