listing_id,business_name,address,orgid,Rating,Rating Count,phone,website,domain,chain_name,lat,lon,in_chain,in_search,Category1,Category2,Category3,Category4,Category5,Category6,Category7
CID:7702789330407477727,Safeway,"699 lewelling blvd, san leandro, ca 94579",safeway,4.2,989,(510) 483-2225,local.safeway.com,safeway,Safeway,37.6893349,-122.1382982,True,True,Grocery,Bakery,"Beer, Wine & Spirits",,,,
CID:12430268360729099741,Safeway Bakery,"699 lewelling blvd, san leandro, ca 94579",safeway,5.0,10,(510) 483-2225,local.safeway.com,safeway,Safeway,37.689258,-122.1379358,True,False,Bakery,,,,,,
CID:12110938764761732577,Safeway Liquor,"699 lewelling blvd, san leandro, ca 94579",safeway,3.7,6,(510) 483-2225,safeway.com,safeway,Safeway,37.6892756,-122.1384395,True,False,"Beer, Wine & Spirits",,,,,,
