"los angeles, ca 90034"
CID:1337795194124034434,"Patrick J. McLarney, Pharm","1516 constitution blvd, salinas, ca 93905",safeway,0.0,0,(831) 444-3630,safeway.com,safeway,Safeway,36.6988107,-121.6205549,True,False,Pharmacy,,,,,,

"1546 n main st, salinas, ca 93906"
listing_id,business_name,address,orgid,Rating,Rating Count,phone,website,domain,chain_name,lat,lon,in_chain,in_search,Category1,Category2,Category3,Category4,Category5,Category6,Category7
CID:10665057435670037857,Safeway,"1546 n main st, salinas, ca 93906",safeway,4.3,1070,(831) 442-7500,local.safeway.com,safeway,Safeway,36.7126823,-121.6522121,True,True,Grocery,"Beer, Wine & Spirits",,,,,
CID:8425389987353295934,Safeway Liquor,"1546 n main st, salinas, ca 93906",safeway,0.0,0,,safeway.com,safeway,Safeway,36.7126832,-121.6522178,True,False,"Beer, Wine & Spirits",,,,,,

"17539 vierra canyon rd, prunedale, ca 93907"
listing_id,business_name,address,orgid,Rating,Rating Count,phone,website,domain,chain_name,lat,lon,in_chain,in_search,Category1,Category2,Category3,Category4,Category5,Category6,Category7
CID:11291211367471020335,Safeway,"17539 vierra canyon rd, prunedale, ca 93907",safeway,4.2,940,(831) 663-6702,local.safeway.com,safeway,Safeway,36.7936053,-121.6658793,True,True,Grocery,Bakery,,,,,
CID:5784077369607456007,Safeway Bakery,"17539 vierra canyon rd, prunedale, ca 93907",safeway,4.0,1,(831) 663-6702,local.safeway.com,safeway,Safeway,36.7936036,-121.6658913,True,False,Bakery,,,,,,

"prunedale, ca 93907"
listing_id,business_name,address,orgid,Rating,Rating Count,phone,website,domain,chain_name,lat,lon,in_chain,in_search,Category1,Category2,Category3,Category4,Category5,Category6,Category7
CID:16160897573474529574,Safeway Liquor,"prunedale, ca 93907",safeway,4.0,1,,safeway.com,safeway,Safeway,36.7935692,-121.6657644,True,True,"Beer, Wine & Spirits",,,,,,

"104 mid vly ctr, carmel-by-the-sea, ca 93923"
listing_id,business_name,address,orgid,Rating,Rating Count,phone,website,domain,chain_name,lat,lon,in_chain,in_search,Category1,Category2,Category3,Category4,Category5,Category6,Category7
CID:3173781074187505497,Safeway,"104 mid vly ctr, carmel-by-the-sea, ca 93923",safeway,4.2,200,(831) 624-4600,local.safeway.com,safeway,Safeway,36.5224731,-121.810205,True,True,Grocery,"Beer, Wine & Spirits",,,,,
CID:15859298437494870343,Safeway Liquor,"104 mid vly ctr, carmel-by-the-sea, ca 93923",safeway,0.0,0,,safeway.com,safeway,Safeway,36.5225281,-121.8101227,True,False,"Beer, Wine & Spirits",,,,,,

"26635 fisher dr, carmel-by-the-sea, ca 93923"
listing_id,business_name,address,orgid,Rating,Rating Count,phone,website,domain,chain_name,lat,lon,in_chain,in_search,Category1,Category2,Category3,Category4,Category5,Category6,Category7
CID:14164542940124096442,Safeway Liquor,"26635 fisher dr, carmel-by-the-sea, ca 93923",safeway,3.0,1,,safeway.com,safeway,Safeway,36.5364215,-121.9111312,True,True,"Beer, Wine & Spirits",,,,,,

"5 crossroads blvd, carmel-by-the-sea, ca 93923"
listing_id,business_name,address,orgid,Rating,Rating Count,phone,website,domain,chain_name,lat,lon,in_chain,in_search,Category1,Category2,Category3,Category4,Category5,Category6,Category7
CID:5825712898392309857,Safeway,"5 crossroads blvd, carmel-by-the-sea, ca 93923",safeway,4.3,625,(831) 625-8820,local.safeway.com,safeway,Safeway,36.536432,-121.9111131,True,True,Grocery,Bakery,,,,,
CID:8858230717899040120,Safeway Bakery,"5 crossroads blvd, carmel-by-the-sea, ca 93923",safeway,0.0,0,(831) 625-8820,local.safeway.com,safeway,Safeway,36.5364215,-121.9111312,True,False,Bakery,,,,,,

"530 canal st, king city, ca 93930"
listing_id,business_name,address,orgid,Rating,Rating Count,phone,website,domain,chain_name,lat,lon,in_chain,in_search,Category1,Category2,Category3,Category4,Category5,Category6,Category7
CID:2292167224840032039,Safeway,"530 canal st, king city, ca 93930",safeway,4.2,421,(831) 385-7820,local.safeway.com,safeway,Safeway,36.2044585,-121.1332737,True,True,Grocery,Bakery,"Beer, Wine & Spirits",,,,
CID:6937289405700695201,Safeway Liquor,"530 canal st, king city, ca 93930",safeway,0.0,0,,safeway.com,safeway,Safeway,36.2043787,-121.1333894,True,False,"Beer, Wine & Spirits",,,,,,
CID:13036638979073342149,Safeway Bakery,"530 canal st, king city, ca 93930",safeway,0.0,0,(831) 385-7820,local.safeway.com,safeway,Safeway,36.2046002,-121.1331805,True,False,Bakery,,,,,,

"815 canyon del rey blvd, del rey oaks, ca 93940"
listing_id,business_name,address,orgid,Rating,Rating Count,phone,website,domain,chain_name,lat,lon,in_chain,in_search,Category1,Category2,Category3,Category4,Category5,Category6,Category7
CID:3046632674496651693,Safeway,"815 canyon del rey blvd, del rey oaks, ca 93940",safeway,4.2,2130,(831) 393-2090,local.safeway.com,safeway,Safeway,36.5977871,-121.8503884,True,True,Grocery,Bakery,"Beer, Wine & Spirits",,,,
CID:11520354803735243991,Safeway Liquor,"815 canyon del rey blvd, del rey oaks, ca 93940",safeway,4.0,2,,safeway.com,safeway,Safeway,36.5977196,-121.8505255,True,False,"Beer, Wine & Spirits",,,,,,
CID:6617090364143182166,Safeway Bakery,"815 canyon del rey blvd, del rey oaks, ca 93940",safeway,5.0,1,(831) 393-2090,local.safeway.com,safeway,Safeway,36.5975601,-121.8503811,True,False,Bakery,,,,,,

"1212 forest ave, pacific grove, ca 93950"
listing_id,business_name,address,orgid,Rating,Rating Count,phone,website,domain,chain_name,lat,lon,in_chain,in_search,Category1,Category2,Category3,Category4,Category5,Category6,Category7
CID:6324533983101399169,Safeway,"1212 forest ave, pacific grove, ca 93950",safeway,4.0,1014,(831) 375-8262,local.safeway.com,safeway,Safeway,36.6048577,-121.9210704,True,True,Grocery,"Beer, Wine & Spirits",,,,,
CID:1417429602547626364,Safeway Liquor,"1212 forest ave, pacific grove, ca 93950",safeway,5.0,1,,safeway.com,safeway,Safeway,36.6049109,-121.9212663,True,False,"Beer, Wine & Spirits",,,,,,

"1100 el camino real, belmont, ca 94002"
listing_id,business_name,address,orgid,Rating,Rating Count,phone,website,domain,chain_name,lat,lon,in_chain,in_search,Category1,Category2,Category3,Category4,Category5,Category6,Category7
CID:17191518070759363358,Safeway,"1100 el camino real, belmont, ca 94002",safeway,4.1,1424,(650) 596-1730,local.safeway.com,safeway,Safeway,37.5186773,-122.2758925,True,True,Grocery,Bakery,"Beer, Wine & Spirits",,,,
CID:1176107527269417294,Safeway Liquor,"1100 el camino real, belmont, ca 94002",safeway,4.3,4,(650) 596-1730,safeway.com,safeway,Safeway,37.5185921,-122.2756722,True,False,"Beer, Wine & Spirits",,,,,,
CID:11586236714995218094,Safeway Bakery,"1100 el camino real, belmont, ca 94002",safeway,0.0,1,(650) 596-1730,local.safeway.com,safeway,Safeway,37.5188877,-122.2755685,True,False,Bakery,,,,,,

"2100 ralston ave, belmont, ca 94002"
listing_id,business_name,address,orgid,Rating,Rating Count,phone,website,domain,chain_name,lat,lon,in_chain,in_search,Category1,Category2,Category3,Category4,Category5,Category6,Category7
CID:3078906542530114234,Safeway,"2100 ralston ave, belmont, ca 94002",safeway,3.9,487,(650) 591-0235,local.safeway.com,safeway,Safeway,37.512294,-122.2956223,True,True,Grocery,"Beer, Wine & Spirits",,,,,
CID:13357146224415988821,Safeway Liquor,"2100 ralston ave, belmont, ca 94002",safeway,4.4,6,,safeway.com,safeway,Safeway,37.5124108,-122.2955237,True,False,"Beer, Wine & Spirits",,,,,,

"1450 howard ave, burlingame, ca 94010"
listing_id,business_name,address,orgid,Rating,Rating Count,phone,website,domain,chain_name,lat,lon,in_chain,in_search,Category1,Category2,Category3,Category4,Category5,Category6,Category7
CID:7215808425006159806,Safeway,"1450 howard ave, burlingame, ca 94010",safeway,4.1,885,(650) 343-3488,local.safeway.com,safeway,Safeway,37.576421,-122.3482986,True,True,Grocery,Bakery,"Beer, Wine & Spirits",,,,
CID:9942770071241700617,Safeway Liquor,"1450 howard ave, burlingame, ca 94010",safeway,4.0,6,(650) 343-3488,safeway.com,safeway,Safeway,37.5763728,-122.3479941,True,False,"Beer, Wine & Spirits",,,,,,
CID:13305696541106692552,Safeway Bakery,"1450 howard ave, burlingame, ca 94010",safeway,5.0,1,(650) 343-3488,local.safeway.com,safeway,Safeway,37.5764245,-122.3482146,True,False,Bakery,,,,,,

"daly city, ca 94015"
listing_id,business_name,address,orgid,Rating,Rating Count,phone,website,domain,chain_name,lat,lon,in_chain,in_search,Category1,Category2,Category3,Category4,Category5,Category6,Category7
CID:16142663731137338446,Safeway Liquor,"daly city, ca 94015",safeway,5.0,2,,,,Safeway,37.64664,-122.4518547,True,True,"Beer, Wine & Spirits",,,,,,
CID:7453766679455610647,Safeway Liquor,"daly city, ca 94015",safeway,0.0,0,,safeway.com,safeway,Safeway,37.6997987,-122.4815738,True,False,"Beer, Wine & Spirits",,,,,,

"70 cabrillo hwy n, half moon bay, ca 94019"
listing_id,business_name,address,orgid,Rating,Rating Count,phone,website,domain,chain_name,lat,lon,in_chain,in_search,Category1,Category2,Category3,Category4,Category5,Category6,Category7
CID:1967024483148679198,Safeway Liquor,"70 cabrillo hwy n, half moon bay, ca 94019",safeway,3.0,4,,safeway.com,safeway,Safeway,37.4692804,-122.4361212,True,True,"Beer, Wine & Spirits",,,,,,

"70 cabrillo hwy, half moon bay, ca 94019"
listing_id,business_name,address,orgid,Rating,Rating Count,phone,website,domain,chain_name,lat,lon,in_chain,in_search,Category1,Category2,Category3,Category4,Category5,Category6,Category7
CID:4026970793690964576,Safeway,"70 cabrillo hwy, half moon bay, ca 94019",safeway,4.1,622,(650) 726-1143,local.safeway.com,safeway,Safeway,37.4692702,-122.4361387,True,True,Grocery,Bakery,,,,,
CID:3139346220455829957,Safeway Bakery,"70 cabrillo hwy, half moon bay, ca 94019",safeway,0.0,1,(650) 726-1143,local.safeway.com,safeway,Safeway,37.4693081,-122.4359691,True,False,Bakery,,,,,,

"160 1st st, los altos, ca 94022"
listing_id,business_name,address,orgid,Rating,Rating Count,phone,website,domain,chain_name,lat,lon,in_chain,in_search,Category1,Category2,Category3,Category4,Category5,Category6,Category7
CID:13038606297327461740,Safeway,"160 1st st, los altos, ca 94022",safeway,4.2,679,(650) 941-1801,local.safeway.com,safeway,Safeway,37.3789745,-122.1190452,True,True,Grocery,Bakery,"Beer, Wine & Spirits",,,,
CID:15113953970358366988,Safeway Liquor,"160 1st st, los altos, ca 94022",safeway,3.3,3,(650) 941-1801,safeway.com,safeway,Safeway,37.3791046,-122.1191572,True,False,"Beer, Wine & Spirits",,,,,,
CID:1712721969961754420,Safeway Bakery,"160 1st st, los altos, ca 94022",safeway,0.0,0,(650) 941-1801,local.safeway.com,safeway,Safeway,37.3791046,-122.1191572,True,False,Bakery,,,,,,

"325 sharon park dr, menlo park, ca 94025"
listing_id,business_name,address,orgid,Rating,Rating Count,phone,website,domain,chain_name,lat,lon,in_chain,in_search,Category1,Category2,Category3,Category4,Category5,Category6,Category7
CID:7056333641740183377,Safeway,"325 sharon park dr, menlo park, ca 94025",safeway,4.0,509,(650) 854-3056,local.safeway.com,safeway,Safeway,37.4234422,-122.1970037,True,True,Grocery,"Beer, Wine & Spirits",,,,,
CID:7138035946659385570,Safeway Liquor,"325 sharon park dr, menlo park, ca 94025",safeway,3.0,2,,safeway.com,safeway,Safeway,37.4234496,-122.1971346,True,False,"Beer, Wine & Spirits",,,,,,

"525 el camino real, menlo park, ca 94025"
listing_id,business_name,address,orgid,Rating,Rating Count,phone,website,domain,chain_name,lat,lon,in_chain,in_search,Category1,Category2,Category3,Category4,Category5,Category6,Category7
CID:54502168899234170,Safeway Liquor,"525 el camino real, menlo park, ca 94025",safeway,4.0,7,,safeway.com,safeway,Safeway,37.4503524,-122.179344,True,True,"Beer, Wine & Spirits",Bakery,,,,,
CID:13256032684494489836,Safeway Bakery,"525 el camino real, menlo park, ca 94025",safeway,0.0,0,(650) 847-2901,local.safeway.com,safeway,Safeway,37.450572,-122.1790228,True,False,Bakery,,,,,,

"525 el camino real, millbrae, ca 94030"
listing_id,business_name,address,orgid,Rating,Rating Count,phone,website,domain,chain_name,lat,lon,in_chain,in_search,Category1,Category2,Category3,Category4,Category5,Category6,Category7
CID:1158328826993782411,Safeway,"525 el camino real, millbrae, ca 94030",safeway,4.2,1860,(650) 652-3416,local.safeway.com,safeway,Safeway,37.6033699,-122.3942131,True,True,Grocery,Bakery,,,,,
CID:5408577198307040379,Safeway Bakery,"525 el camino real, millbrae, ca 94030",safeway,0.0,0,(650) 652-3416,local.safeway.com,safeway,Safeway,37.6033834,-122.3942501,True,False,Bakery,,,,,,

"millbrae, ca 94030"
listing_id,business_name,address,orgid,Rating,Rating Count,phone,website,domain,chain_name,lat,lon,in_chain,in_search,Category1,Category2,Category3,Category4,Category5,Category6,Category7
CID:3081274041244328003,Safeway Liquor,"millbrae, ca 94030",safeway,4.3,10,,safeway.com,safeway,Safeway,37.6035246,-122.3941688,True,True,"Beer, Wine & Spirits",,,,,,

"1750 miramonte ave, mountain view, ca 94040"
listing_id,business_name,address,orgid,Rating,Rating Count,phone,website,domain,chain_name,lat,lon,in_chain,in_search,Category1,Category2,Category3,Category4,Category5,Category6,Category7
CID:14197024717894140085,Safeway,"1750 miramonte ave, mountain view, ca 94040",safeway,4.1,367,(650) 903-5850,local.safeway.com,safeway,Safeway,37.3723424,-122.0884411,True,True,Grocery,Bakery,,,,,
CID:339717221151628814,Safeway Bakery,"1750 miramonte ave, mountain view, ca 94040",safeway,0.0,0,(650) 903-5850,local.safeway.com,safeway,Safeway,37.372433,-122.0884434,True,False,Bakery,,,,,,

"645 san antonio rd, mountain view, ca 94040"
